Text;Fake
budget fight looms republicans flip fiscal reuters head conservative republican faction congress voted month huge expansion national debt cuts called fiscal conservative sunday urged budget restraint keeping sharp pivot republicans representative mark meadows speaking face nation drew hard line federal spending lawmakers bracing battle january return holidays wednesday lawmakers begin trying pass federal budget fight likely linked issues immigration policy november congressional election campaigns approach republicans seek control congress president donald trump republicans want budget increase military spending democrats want proportional increases defense discretionary spending programs support education scientific research infrastructure public health environmental protection trump administration willing going increase defense discretionary spending percent meadows chairman small influential house freedom caucus said program democrats saying need government raise percent fiscal conservative rationale eventually people money said meadows republicans voted late december party debt financed overhaul expected balloon federal budget deficit trillion years trillion national debt interesting hear mark talk fiscal responsibility democratic representative joseph crowley said crowley said republican require united states borrow trillion paid future generations finance cuts corporations rich fiscally responsible bills seen passed history house representatives think going paying years come crowley said republicans insist package biggest overhaul years boost economy growth house speaker paul ryan supported recently went meadows making clear radio interview welfare entitlement reform party calls republican priority republican parlance entitlement programs mean food stamps housing assistance medicare medicaid health insurance elderly poor disabled programs created washington assist needy democrats seized ryan early december remarks saying showed republicans overhaul seeking spending cuts social programs goals house republicans seat senate votes democrats needed approve budget prevent government shutdown democrats leverage senate republicans narrowly control defend discretionary defense programs social spending tackling issue dreamers people brought illegally country children trump september march expiration date deferred action childhood arrivals daca program protects young immigrants deportation provides work permits president said recent twitter messages wants funding proposed mexican border wall immigration changes exchange agreeing help dreamers representative debbie dingell told favor linking issue policy objectives wall funding need daca clean said wednesday trump aides meet congressional leaders discuss issues followed weekend strategy sessions trump republican leaders white house said trump scheduled meet sunday florida republican governor rick scott wants emergency house passed billion package hurricanes florida texas puerto rico wildfires california package exceeded billion requested trump administration senate voted;true
military accept transgender recruits monday reuters transgender people allowed time enlist military starting monday ordered federal courts pentagon said friday president donald trump administration decided appeal rulings blocked transgender federal appeals courts washington virginia week rejected administration request hold orders lower court judges requiring military begin accepting transgender recruits justice department official said administration challenge rulings department defense announced releasing independent study issues coming weeks litigate interim appeal occurs administration decided wait study continue defend president lawful authority district court meantime official said speaking condition anonymity september pentagon said created panel senior officials study implement directive trump prohibit transgender individuals serving defense department submit plan trump lawyers representing currently serving transgender service members aspiring recruits said expected administration appeal rulings conservative majority supreme court hoping happen pentagon spokeswoman heather babb said statement mandated court order department defense prepared begin accessing transgender applicants military service applicants meet accession standards jennifer levi lawyer lesbian transgender advocacy group glad called decision appeal great news hoping means government come justify good military country levi said glad american civil liberties union represent plaintiffs lawsuits filed administration appealed hard line conservative supporters trump announced july prohibit transgender people serving military reversing democratic president barack obama policy accepting trump said twitter time military burdened tremendous medical costs disruption transgender military entail federal judges baltimore washington seattle riverside california issued rulings blocking trump legal challenges republican president policy proceed judges said likely violate right constitution equal protection pentagon issued guidelines recruitment personnel order enlist transgender applicants memo outlined medical requirements specified applicants identified undergarments wear trump administration previously said legal papers armed forces prepared train thousands personnel medical standards needed process transgender applicants accept individuals medically service obama administration deadline july begin accepting transgender recruits trump defense secretary james mattis postponed date president indefinitely trump taken steps aimed rolling transgender rights october administration said federal banning gender based workplace discrimination protect transgender employees reversing obama position february trump rescinded guidance issued obama administration saying public schools allow transgender students restroom corresponds gender identity;true
senior republican senator mueller washington reuters special counsel investigation links russia president trump election campaign continue interference despite calls trump administration allies republican lawmakers shut prominent republican senator said sunday lindsey graham serves senate armed forces judiciary committees said department justice special counsel robert mueller needs carry russia investigation political interference investigation forward investigation conducted political influence graham said face nation news program need mueller think right right time question russia interfered election trump campaign links ordinated effort loomed white house trump took office january shows sign receding trump prepares second year power despite intensified rhetoric trump allies recent weeks accusing mueller team bias republican president trump undercut supporters interview week york times said expected mueller going fair russia role election question possible links trump campaign focus multiple inquiries washington committees senate house representatives investigating mueller team took earlier probe launched federal bureau investigation members trump campaign administration convicted indicted investigation trump allies deny collusion russia campaign kremlin denied meddling election graham said wants examination dossier links trump russia compiled british christopher steele prompted trump allies republicans question mueller inquiry saturday york times reported dossier triggered early probe trump campaign foreign policy adviser george papadopoulos australian diplomat russia damaging information trump rival hillary clinton want somebody look department justice dossier bothers greatly want somebody look graham said said russia investigation continue matter fact hurt ignored said;true
russia probe helped australian diplomat nytwashington reuters trump campaign adviser george papadopoulos told australian diplomat russia political dirt democratic presidential candidate hillary clinton york times reported saturday conversation papadopoulos diplomat alexander downer london driving factor decision open counter intelligence investigation moscow contacts trump campaign times reported months meeting australian officials passed information came papadopoulos american counterparts leaked democratic emails began appearing online according newspaper cited current foreign officials information australians probe federal bureau investigation propelled intelligence friendly governments including british dutch times said papadopoulos chicago based international energy lawyer pleaded guilty lying agents contacts people claimed ties russian officials criminal charge alleging links trump campaign russia white house played aide campaign role saying extremely limited actions took york times reported papadopoulos helped meeting candidate donald trump egyptian president abdel fattah sisi edited outline trump major foreign policy speech april federal investigation special counsel robert mueller hung trump white house took office year trump allies recently accused mueller team biased republican president lawyers papadopoulos immediately respond requests reuters comment mueller office declined comment trump white house attorney cobb declined comment york times report respect special counsel process commenting matters said statement mueller charged trump associates including papadopoulos investigation russia denied interfering election trump said collusion campaign moscow;true
trump wants postal service charge amazon washington reuters president donald trump called postal service friday charge ship packages amazon amzn picking fight online retail giant criticized past united states post office losing billions dollars year charging amazon little deliver packages making amazon richer post office dumber poorer charging trump wrote twitter president tweet drew fresh attention fragile finances postal service time tens millions parcels shipped country holiday season postal service runs loss independent agency federal government receive dollars operating expenses according website package delivery increasingly important business internet sharp decline class letters president determine postal rates postal regulatory commission independent government agency commissioners selected president political parties panel raised prices packages percent november amazon founded jeff bezos remains chief executive officer retail company richest person world according bloomberg news bezos owns washington post newspaper trump repeatedly railed criticisms news media tweets past year trump said amazon washington post fabricated stories said amazon sales true hurts retailers pattern businessman reality television host periodically turning american companies took office january daniel ives research analyst insights said trump comment taken warning retail giant said concerned amazon price hikes future risk amazon clearly aware building distribution aggressively said amazon shown past shifting delivery service including testing drones deliveries company spent billion shipping percent total operating expenses year amazon shares percent early afternoon overall stock prices slightly friday satish jindel president shipmatrix analyzes shipping data disputed idea postal service charges united parcel service fedex corp biggest players parcel delivery business united states customers lower rates fedex post office comparable services said postal service delivers percent amazon packages million current peak year holiday shipping season jindel said seattle based company post office agreement mail carriers amazon packages journeys post offices customers doorsteps amazon carrier percent fedex percent according jindel trump comment tapped debate postal service pricing kept pace rise commerce flooded mail small packages private companies like long claimed current unfairly undercuts business steve gaut spokesman noted company values productive relationship postal service filed postal regulatory commission concerns postal service methods covering costs representatives amazon white house postal service fedex declined comment immediately available comment trump tweet according annual report postal service lost billion year deficit ballooned billion postal service revenue class mail marketing mail periodicals flat declining revenue package delivery percent billion fiscal year ended sept lost billion revenue temporary surcharge expired april according government accountability office report february service facing growing personnel expenses particularly billion unfunded pension benefits liabilities postal service announced plans costs postal service prices package delivery cover costs attributable service postal service allocates percent total costs business shipping packages line business percent total revenue;true
white house congress prepare talks spending immigrationwest palm beach washington reuters white house said friday kick talks week republican democratic congressional leaders immigration policy government spending issues need wrapped early year expected flurry legislative activity comes republicans democrats begin stage midterm congressional elections november president donald trump republican party eager maintain control congress democrats look openings wrest seats away senate house representatives wednesday trump budget chief mick mulvaney legislative affairs director marc short meet senate majority leader mitch mcconnell house speaker paul ryan republicans democratic counterparts senator chuck schumer representative nancy pelosi white house said followed weekend strategy sessions trump mcconnell ryan camp david presidential retreat maryland according white house senate returns work house congress passed short term government funding week taking christmas break needs come agreement defense spending domestic programs government shut agenda lawmakers disaster people hurricanes puerto rico texas florida wildfires california house passed billion package december senate white house asked smaller figure billion deadlines loom soon expire protections young adult immigrants entered country illegally children known dreamers september trump ended democratic president barack obama deferred action childhood arrivals daca program protected dreamers deportation provided work permits effective march giving congress devise long term solution democrats republicans number large companies pushed daca protections continue trump republicans said happen congress approving broader immigration policy changes tougher border security democrats oppose funding wall promised trump mexican border democrats told fully understand daca desperately needed wall southern border horrible chain migration ridiculous lottery immigration trump said twitter post friday trump wants overhaul immigration rules extended families seeking live united states republican senator jeff flake frequent critic president said work trump protect dreamers daca beefs border security stops chain migration dreamers addresses unfairness diversity lottery potus trump wants protect kids want help promise flake wrote twitter congress early raise debt ceiling avoid government default treasury exhaust borrowing options cash bills late march early april congress raise debt ceiling according nonpartisan congressional budget office trump major legislative victory passage major overhaul month promised major infrastructure plan;true
trump says russia probe fair timeline unclear nytwest palm beach reuters president donald trump said thursday believes fairly treated special counsel investigation russian meddling presidential election said know long probe federal investigation hung trump white house took office year trump allies recent weeks accused team justice department special counsel robert mueller biased republican president interview york times trump appeared shrug concerns investigation prompted intelligence agencies conclusion russia tried help trump defeat democrat hillary clinton hacking releasing embarrassing emails disseminating propaganda collusion think going fair trump said times described minute impromptu interview golf club west palm beach florida mueller charged trump associates investigation russia denied interfering election deputy attorney general rosenstein said month aware impropriety mueller team trump lawyers saying weeks expected mueller investigation wrap quickly possibly mueller commented long trump told times know long investigation timing wise tell know said trump said thought prolonged probe makes country look said energized core supporters angered base base stronger base strong said interview rare break trump christmas vacation florida golfed aside christmas mainly kept profile apart occasional flurry tweets spent golfing republican senator david perdue georgia pushed legislation immigration numbers dinner thursday commerce secretary wilbur ross international trade hawk trump told times hoped work democrats congress spending plan roads infrastructure protections group undocumented immigrants brought united states children trump spoke trade issues saying backed hard line chinese trade practices hope beijing pressure north korea nuclear missile testing program said disappointed results complained north american free trade agreement nafta administration attempting renegotiate talks mexico canada trump said canadian prime minister justin trudeau played importance canadian lumber exports united states looking balance trade countries right deal terminate nafta seconds pretty good trump said;true
factbox trump twitter approval rating amazonthe following statements posted verified twitter accounts president donald trump realdonaldtrump potus opinions expressed reuters edited statements confirmed accuracy realdonaldtrump fake news loves talk called approval rating foxandfriends showed rating approximately president obama despite massive negative trump coverage russia hoax united states post office losing billions dollars year charging amazon little deliver packages making amazon richer post office dumber poorer charging source link jpexyr;true
trump twitter global warmingthe following statements posted verified twitter accounts president donald trump realdonaldtrump potus opinions expressed reuters edited statements confirmed accuracy realdonaldtrump making america great lnpkaq east coldest year record little good global warming country countries going trillions dollars protect bundle source link jpexyr;true
alabama official certify senator elect jones today despite challenge cnnwashington reuters alabama secretary state john merrill said certify democratic senator elect doug jones winner thursday despite opponent moore challenge phone moore conservative faced allegations groping teenage girls filed court challenge late wednesday outcome senate election unexpectedly lost;true
